sep=	
Time	Channel1	Channel2
-0.00066	-0.012500000000000011	-0.006249999999999978
-0.000656	-0.006249999999999978	-0.006249999999999978
-0.000652	-0.006249999999999978	-0.006249999999999978
-0.0006479999999999999	-0.006249999999999978	-0.006249999999999978
-0.0006439999999999999	0	0
-0.0006399999999999999	-0.006249999999999978	-0.012500000000000011
-0.000636	-0.006249999999999978	-0.006249999999999978
-0.000632	-0.012500000000000011	-0.006249999999999978
-0.000628	-0.006249999999999978	0
-0.000624	-0.012500000000000011	-0.006249999999999978
-0.00062	-0.006249999999999978	-0.006249999999999978
-0.000616	-0.006249999999999978	-0.006249999999999978
-0.000612	-0.006249999999999978	-0.006249999999999978
-0.0006079999999999999	-0.006249999999999978	-0.006249999999999978
-0.0006039999999999999	-0.006249999999999978	-0.006249999999999978
-0.0006	-0.012500000000000011	-0.006249999999999978
-0.000596	-0.012500000000000011	-0.006249999999999978
-0.000592	-0.012500000000000011	-0.006249999999999978
-0.000588	-0.012500000000000011	-0.006249999999999978
-0.000584	-0.006249999999999978	-0.006249999999999978
-0.00058	-0.006249999999999978	-0.006249999999999978
-0.000576	0	-0.006249999999999978
-0.000572	-0.006249999999999978	-0.006249999999999978
-0.0005679999999999999	-0.006249999999999978	-0.006249999999999978
-0.0005639999999999999	-0.006249999999999978	-0.006249999999999978
-0.00056	-0.012500000000000011	-0.006249999999999978
-0.000556	-0.012500000000000011	-0.006249999999999978
-0.000552	-0.006249999999999978	-0.006249999999999978
-0.000548	-0.006249999999999978	-0.006249999999999978
-0.000544	-0.006249999999999978	-0.006249999999999978
-0.00054	-0.006249999999999978	-0.006249999999999978
-0.000536	-0.012500000000000011	-0.006249999999999978
-0.000532	-0.006249999999999978	-0.006249999999999978
-0.0005279999999999999	-0.012500000000000011	-0.006249999999999978
-0.0005239999999999999	-0.006249999999999978	-0.006249999999999978
-0.00052	-0.006249999999999978	-0.006249999999999978
-0.000516	-0.006249999999999978	-0.006249999999999978
-0.000512	-0.012500000000000011	-0.012500000000000011
-0.000508	-0.012500000000000011	-0.006249999999999978
-0.000504	-0.012500000000000011	-0.012500000000000011
-0.0005	-0.012500000000000011	-0.006249999999999978
-0.000496	-0.006249999999999978	-0.006249999999999978
-0.0004919999999999999	-0.006249999999999978	-0.006249999999999978
-0.000488	-0.006249999999999978	-0.006249999999999978
-0.000484	-0.006249999999999978	-0.006249999999999978
-0.00047999999999999996	-0.006249999999999978	-0.006249999999999978
-0.00047599999999999997	-0.012500000000000011	-0.006249999999999978
-0.000472	-0.012500000000000011	-0.006249999999999978
-0.000468	-0.01874999999999999	-0.006249999999999978
-0.000464	-0.006249999999999978	-0.006249999999999978
-0.00045999999999999996	-0.006249999999999978	-0.006249999999999978
-0.00045599999999999997	-0.012500000000000011	-0.006249999999999978
-0.000452	-0.006249999999999978	-0.006249999999999978
-0.000448	-0.006249999999999978	-0.006249999999999978
-0.000444	-0.006249999999999978	-0.012500000000000011
-0.00043999999999999996	-0.006249999999999978	-0.006249999999999978
-0.00043599999999999997	-0.012500000000000011	-0.012500000000000011
-0.000432	-0.006249999999999978	-0.006249999999999978
-0.000428	-0.012500000000000011	-0.006249999999999978
